"term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","q.value"
"DII",1.1457855402564,0.0364710966794854,3.73146067772474,0.000352104096037419,1.06558550800713,1.23202173302443,"cvd_stroke","DII","M2","DII_cont",NA
"DII",1.1050816932403,0.0557144461023913,1.79341750230385,0.0768842699371055,0.989015105969788,1.23476935929849,"cvd_stroke","DII","M3","DII_cont",NA
"DII_QQ2",1.32461409346054,0.230779967135286,1.21813504996882,0.226321555143712,0.837532770061419,2.09496578440223,"cvd_stroke","DII_Q","Crude","DII_Q",NA
"DII_QQ3",2.2347401686366,0.192865928301275,4.16934692792198,6.95755744331464e-05,1.52351549769476,3.27798675423682,"cvd_stroke","DII_Q","Crude","DII_Q",NA
"DII_QQ4",2.26471508032012,0.172553075184975,4.73737693630224,7.94095420434225e-06,1.6075213719632,3.19058550914668,"cvd_stroke","DII_Q","Crude","DII_Q",1.58819084086845e-05
"DII_QQ2",1.32820197191719,0.232589250299543,1.22028909939584,0.225690877710176,0.836485577742157,2.10896699853024,"cvd_stroke","DII_Q","M1","DII_Q",NA
"DII_QQ3",2.27776115710665,0.191864762862541,4.29048565051666,4.65036547943294e-05,1.55547114493312,3.3354497804245,"cvd_stroke","DII_Q","M1","DII_Q",NA
"DII_QQ4",2.35386170442921,0.179619761095802,4.76594141262243,7.57716415731704e-06,1.64704865233685,3.36399590608162,"cvd_stroke","DII_Q","M1","DII_Q",1.51543283146341e-05
"DII_QQ2",1.23443483406607,0.238889151481837,0.881635854092043,0.380648346259604,0.767295165342189,1.98597544776155,"cvd_stroke","DII_Q","M2","DII_Q",NA
"DII_QQ3",1.92928461412385,0.19644845165944,3.34514862496972,0.00126021528165528,1.30490260530725,2.85242676898373,"cvd_stroke","DII_Q","M2","DII_Q",NA
"DII_QQ4",1.87983383698345,0.188181406925404,3.35412195426214,0.00122501946186449,1.29255084791904,2.73395453676514,"cvd_stroke","DII_Q","M2","DII_Q",0.00245003892372899
"DII_QQ2",1.40978985608579,0.314111171254013,1.09337294077966,0.277776613431241,0.753942242022759,2.63615344457963,"cvd_stroke","DII_Q","M3","DII_Q",NA
"DII_QQ3",1.92913225381932,0.312588260031301,2.10203125455298,0.038953645176736,1.03481698831352,3.59633760824815,"cvd_stroke","DII_Q","M3","DII_Q",NA
"DII_QQ4",1.63382478643673,0.300895834918003,1.63154056612043,0.107025173984141,0.897067402372972,2.97567766448075,"cvd_stroke","DII_Q","M3","DII_Q",0.12843020878097
"sleep_score",1.45234130621847,0.0396940353832725,9.40133560511845,3.77952160573664e-15,1.34225691308347,1.57145420462232,"cvd_stroke","sleep_score","Crude","sleep_score",1.13385648172099e-14
"sleep_score",1.48040231004496,0.0400818758345463,9.78781241595408,9.80684387515078e-16,1.36705607357195,1.60314638291325,"cvd_stroke","sleep_score","M1","sleep_score",2.94205316254523e-15
"sleep_score",1.41186810338994,0.0447511235111799,7.70737573604957,2.82546116718273e-11,1.29158871818097,1.54334852365179,"cvd_stroke","sleep_score","M2","sleep_score",8.4763835015482e-11
"sleep_score",1.28122091286571,0.0728921581306382,3.39972732113591,0.00107740328001196,1.10808815417122,1.48140472523344,"cvd_stroke","sleep_score","M3","sleep_score",0.00217168830106247
"sleep_disorder",2.26921985035268,0.119564903089881,6.85348353059487,7.74111470200654e-10,1.78962104847183,2.87734586807175,"cvd_stroke","sleep_disorder","Crude","sleep_disorder",2.32233441060196e-09
"sleep_disorder",2.26292732994883,0.121225471508576,6.73669686502325,1.60865509369827e-09,1.77846227944307,2.87936390882181,"cvd_stroke","sleep_disorder","M1","sleep_disorder",3.21731018739654e-09
"sleep_disorder",1.99051789141585,0.125890407611489,5.46820734702152,4.91471791314627e-07,1.54946921374902,2.55710887372841,"cvd_stroke","sleep_disorder","M2","sleep_disorder",1.47441537394388e-06
"sleep_disorder",1.5591761337494,0.183947519841031,2.41458848018019,0.0181582371832476,1.0809003221584,2.24907900036453,"cvd_stroke","sleep_disorder","M3","sleep_disorder",0.034514768328888
